lemma	type	MWE_Source
el corazón se os rompe en mil pedazos	Frame_RoleMismatch	
el cáncer me ha provocado	Frame_RoleMismatch	
la vida nos prepara	Frame_RoleMismatch	
todo lo bueno que te ofrece la vida	Frame_RoleMismatch	
La casa en la que vivíamos juntas se me hace grande	Frame_RoleMismatch	
esta noticia nos ha cambiado la vida	Frame_RoleMismatch	
tu cuerpo y mente están tratando de procesar	Frame_RoleMismatch	
un dolor de estómago permanente que no me deja alimentarme y recuperarme bien.	Frame_RoleMismatch	
esta enfermedad me va a quitar la vida	Frame_RoleMismatch	
A por esa vida	Frame_RoleMismatch	
hicé lo que mi mente me pedía	Frame_RoleMismatch	
intentamos llevar nuestra vida con alguna normalidad	Frame_RoleMismatch	
mi vida a dado un giro total	Frame_RoleMismatch	
(el cáncer) no debe detener tu vida.	Frame_RoleMismatch	
la ansiedad estaba siempre presente	Frame_RoleMismatch	
(el cáncer) me está volviendo un poco loco	Frame_RoleMismatch	
La vida fue cruel	Frame_RoleMismatch	
tu cerebro no es capaz	Frame_RoleMismatch	
la ansiedad estaba siempre presente	Frame_RoleMismatch	
la vida va a golpear	Frame_RoleMismatch	
luchamos con amor.	Frame_RoleMismatch	
(el cáncer) no sabe con quién se ha metido	Frame_RoleMismatch	
me moría x dentro	Frame_RoleMismatch	
el cáncer me ha provocado	Frame_RoleMismatch	
el cáncer regresó	Frame_RoleMismatch	
tu cuerpo va a poder resistirla.	Frame_RoleMismatch	
Ella seguirá viviendo en ti,	Frame_RoleMismatch	
sueño que mi cuerpo me devuelva la fertilidad	Frame_RoleMismatch	
siento que, tan joven, te toque pasar por estos "descalabros" que la vida nos prepara!	Frame_RoleMismatch	
célula sospechosa	Frame_RoleMismatch	
todo lo bueno que te ofrece la vida	Hyperbole	
todo lo que te rodea	Hyperbole	
todo lo soporta	Hyperbole	
nunca he llorado como lloré	Hyperbole	
quedara nada de nada	Hyperbole	
no quedaba nada	Hyperbole	
no pierdes nada	Hyperbole	
todo lo bueno que te ofrece la vida	Hyperbole	
todo lo que te rodea	Hyperbole	
todo lo soporta	Hyperbole	
nunca he llorado como lloré	Hyperbole	
quedara nada de nada	Hyperbole	
no quedaba nada	Hyperbole	
no pierdes nada	Hyperbole	
amor profundo	multiword	DiCE
buscar información	multiword	DiCE
búsqueda de felicidad	multiword	DiCE
cambiar de la noche al día	multiword	DiLEA
plantar(le) cara	multiword	DiLEA
en (det) carnes	multiword	DiLEA
a ciegas	multiword	DiLEA
a ciencia cierta	multiword	DiLEA
de corazón	multiword	DiLEA
de corazón	multiword	DiLEA
dar importancia	multiword	DiCE
efecto secundario	multiword	DiCE, RAE
efecto secundario	multiword	DiCE, RAE
efecto secundario	multiword	DiCE, RAE
empeorar rápido, a pasos de gigantes	multiword	DiLEA (a pasos de gigante)
estar en (det) mano	multiword	DiLEA
estar en la mano	multiword	DiLEA
estar en la mano	multiword	DiLEA
fuente de energía	multiword	DiCE
hablar el mismo idioma	multiword	DiLEA
a + pro+ lado	multiword	DiLEA
a + pro+ lado	multiword	DiLEA
mano de santo	multiword	DiLEA
la mosca detrás de la oreja	multiword	DiLEA
de la noche a la mañana	multiword	DiLEA
pan de cada día	multiword	DiLEA
pasar(se) la vida	multiword	DiLEA
a pasos de gigantes	multiword	DiLEA
a pleno pulmón	multiword	DiLEA
relación cercana	multiword	DiCE
alto riesgo	multiword	DiCE
pasar por alto	multiword	DiLEA
hacer un viaje en balde	multiword	DiLEA (en balde)
a primera vista	multiword	DiLEA
a simple vista	multiword	DiLEA
dar(le) vueltas a algo	multiword	DiLEA
tirar la toalla	multiword	DiLEA
tirar pa'lante	multiword	DiLEA
a tomarse a pies juntillas	multiword	DiLEA
Te acompaño en el sentimiento	multiword	DiLEA
sin bajar la guardia	multiword	DiLEA
vivita y coleando	multiword	DiLEA
es un sin vivir	multiword	DiLEA
hasta que no lo vives no lo sabes	multiword	DiLEA
no tienen nada que ver	multiword	DiLEA
tenga que ver con	multiword	DiLEA
vale la pena	multiword	RAE, DiLEA
rompe en mil pedazos	multiword	DiLEA
el corazón se os rompe en mil pedazos	multiword	DiLEA
no sabe con quién se ha metido	multiword	SketchEngine
que si pitos, que si flautas	multiword	SketchEngine
lanzar las campanas al vuelo,	multiword	SketchEngine
matar moscas a cañonazos	multiword	SketchEngine
olía algo raro	multiword	SketchEngine
precio que tiene que pagar	multiword	SketchEngine
a tomarse a pies juntillas	multiword	SketchEngine
vivita y coleando	multiword	SketchEngine
un soplo de aire fresco	multiword	SketchEngine
Primera línea de tratamiento	multiword	SketchEngine
